Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,Paul Bradley,M,9th,Huang High School,66,79
1,Victor Smith,M,12th,Huang High School,94,61
2,Kevin Rodriguez,M,12th,Huang High School,90,60
3,Dr. Richard Scott,M,12th,Huang High School,67,
34,Steven Green,M,11th,Huang High School,65,74
35,Benjamin Carlson,M,10th,Huang High School,99,61
36,Kevin Bailey,M,10th,Huang High School,76,76
37,Jesse Newton,M,10th,Huang High School,63,66
38,Kimberly Mercado,F,12th,Huang High School,73,77
39,Gregory Roberts,M,9th,Huang High School,80,61
40,Matthew Mayer,M,9th,Huang High School,79,69
41,Jennifer Parks,F,11th,Huang High School,85,95
42,John Carlson,M,9th,Huang High School,65,89
43,Megan Roberts,F,9th,Huang High School,66,90
44,Debra Flores,F,10th,Huang High School,75,66
45,Heidi Jackson,F,11th,Huang High School,64,93
46,Denise Bradford,F,12th,Huang High School,73,59
47,Ellen Brown,F,11th,Huang High School,77,81
48,Amy Perkins,F,9th,Huang High School,76,66
49,Natalie Mitchell,F,10th,Huang High School,73,93
50,Tiffany Gutierrez,F,10th,Huang High School,82,95
1032,Desiree Green,F,9th,Huang High School,98,98
1033,Kurt Hopkins,M,11th,Huang High School,70,85
1034,Emma Brown,F,9th,Huang High School,94,93
1035,Patrick Williams,M,11th,Huang High School,72,55
1036,Charles Leonard,M,10th,Huang High School,67,91
1037,Seth Smith,M,10th,Huang High School,90,80
1038,Jason Walsh,M,9th,Huang High School,83,83
1039,Heather Wagner,F,9th,Huang High School,66,76
1040,Rickey Ramirez,M,10th,Huang High School,82,94
1041,Dr. Garrett Wright,M,9th,Huang High School,99,64
1042,Peter Robinson,M,11th,Huang High School,86,98
1043,Alex Haas,M,9th,Huang High School,97,96
1044,Justin Jones,M,11th,Huang High School,85,80
1045,Benjamin Cordova,M,10th,Huang High School,96,55
1046,William Salinas,M,10th,Huang High School,70,92
1047,Jacob Lopez,M,9th,Huang High School,83,96
1048,Matthew Valenzuela,M,11th,Huang High School,78,78
1049,Paul Mcdonald,M,9th,Huang High School,98,59
1050,Michael Reynolds,M,11th,Huang High School,65,74
1051,Tracy Lowery,F,9th,Huang High School,90,65
1052,Cory Bailey,M,11th,Huang High School,63,83
1053,James Randolph,M,10th,Huang High School,89,94
1054,Katherine Stewart,F,12th,Huang High School,69,64
1055,Billy Dalton,M,12th,Huang High School,92,75
1056,Sara Kerr,F,9th,Huang High School,75,79
1057,Sarah Booker,F,11th,Huang High School,64,97
1058,Tina Compton,F,9th,Huang High School,77,73
1059,Scott Solis,M,11th,Huang High School,90,87
1060,Jesus Benton,M,9th,Huang High School,82,65
1061,Adam Harrison,M,10th,Huang High School,95,97
1062,Jacob Byrd,M,9th,Huang High School,74,95
1063,Alison Odonnell,F,10th,Huang High School,92,98
1064,Carlos Preston,M,9th,Huang High School,94,99
1065,Randy Jones,M,12th,Huang High School,96,83
1066,Daniel Gray,M,12th,Huang High School,66,75
1067,James Foster,M,9th,Huang High School,95,96
1068,David Rivera,M,11th,Huang High School,95,58
1069,Jessica Porter,F,9th,Huang High School,86,67
1070,Jenny Cortez,F,11th,Huang High School,64,60
1071,Anne Williams,F,10th,Huang High School,72,66
1072,Joshua Andrade,M,12th,Huang High School,79,68
1073,Martin Smith,M,9th,Huang High School,80,90
1074,Laurie Wright,F,10th,Huang High School,78,96
1075,Manuel Turner,M,12th,Huang High School,67,96
1076,Brett Young,M,10th,Huang High School,96,60
1077,Brady Acosta,M,9th,Huang High School,98,65
1078,William Brown,M,10th,Huang High School,75,82
1079,Amanda Carter,F,12th,Huang High School,95,93
1080,Adam Oneill,M,11th,Huang High School,87,75
1081,Mr. James Allen,M,11th,Huang High School,64,87
1082,Joseph Carpenter,M,9th,Huang High School,76,57
1083,Thomas Kline,M,9th,Huang High School,67,83
1084,Jacqueline Lee,F,9th,Huang High School,73,87
1085,Andre Cooper,M,12th,Huang High School,83,62
1086,Mr. Timothy Harper MD,M,11th,Huang High School,95,73
1087,Zoe Mcmillan,F,11th,Huang High School,69,59
1088,Donna Burke,F,12th,Huang High School,75,72
1089,Suzanne Rivers,F,9th,Huang High School,71,73
1090,David Sexton,M,9th,Huang High School,95,78
1091,Michelle Bailey,F,12th,Huang High School,71,94
1092,Pam Burke,F,9th,Huang High School,68,95
1093,Frederick Adams,M,10th,Huang High School,65,61
1094,Michael Lewis,M,11th,Huang High School,84,74
1095,Jason Lewis,M,9th,Huang High School,66,78
1096,Antonio Jimenez,M,10th,Huang High School,99,62
1097,Ryan Burns,M,12th,Huang High School,68,85
1098,Lynn Hill,F,9th,Huang High School,76,91
1099,Misty Stewart,F,12th,Huang High School,63,84
1100,Renee Wolf,F,11th,Huang High School,73,96
1101,Meredith Tucker,F,12th,Huang High School,90,85
1102,John Evans,M,12th,Huang High School,68,64
